group	target	query	baseline_result	a3_result	source_reference_classes	rationale
corpus	boxed_i16__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i16__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i32__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i32__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i64__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i64__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i8__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_i8__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_isize__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_isize__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u128__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u128__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u16__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u16__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u32__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u32__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u64__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u64__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u8__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_u8__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_usize__uaf	allocator_mismatch_ub	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	boxed_usize__uaf	allocator_mismatch_ub_v2	unk	ff	UAF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	closure_df	allocator_mismatch_ub	unk	ff	DF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	closure_df	allocator_mismatch_ub_v2	unk	ff	DF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	explicit_drop_df_only_rust	allocator_mismatch_ub	unk	ff	DF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
corpus	explicit_drop_df_only_rust	allocator_mismatch_ub_v2	unk	ff	DF	DROP1 producer-certifies core::mem::drop(Box<_, Global>) as a rust_global deallocation via rust_mem_drop_owned_box_global_v1. The affected allocation is rust_global and all modeled deallocations for it use the same family, so allocator-family mismatch is refuted; independent DF/UAF temporal findings remain conservative and are not suppressed.
